机场三字码,机场名称,机场英文名,机场简称,城市名称
TAC,罗姆阿尔德兹机场,ROMUALDEZ AIRPORT,罗姆阿尔德兹,塔克洛班
TAG,塔比拉兰机场,TAGBILARAN,塔比拉兰,塔比拉兰
TAK,高松机场  ,TAKAMATSU AIRPORT ,高松,高松
TAM,根雅维尔米纳机场,GEN F JAVIER MINA AI,根雅维尔米纳,坦皮科
TAP,塔帕丘拉国际机场,TAPACHULA INTERNATIO,塔帕丘拉,塔帕丘拉
TBZ,大不里士机场 ,TABRIZ AIRPORT  ,大不里士,大不里士
TET,马通多机场,MATUNDO AIRPORT,马通多,太特
TGZ,拉诺圣胡安机场,LLANO SAN JUAN AIRPO,拉诺圣胡安,图斯特拉-古铁雷斯
TIU,蒂马鲁机场  ,TIMARU AIRPORT ,蒂马鲁 ,蒂马鲁
TKG,布兰提机场,BRANTI AIRPORT,布兰提,南榜市
TKK,特鲁克机场,TRUK AIRPORT,特鲁克,塔克岛
TRC,托雷翁机场,TORREON AIRPORT,托雷翁机场,托雷翁
TRG,陶朗阿机场,TAURANGA AIRPORT,陶朗阿,陶朗阿加
TRI,布里斯托尔机场,TRI-CITIES REGIONAL,布里斯托尔,布里斯托尔
TRZ,民航机场,CIVIL,,蒂鲁吉拉伯利
TUP,莱蒙斯地方机场,LEMONS MUNICIPAL AIR,莱蒙斯,吐丕洛
TVF,希弗里弗福斯地区机场,THIEF RIVER FALLS RE,希弗里弗福斯地区,小偷河瀑布市
TYR,庞兹机场,POUNDS FIELD,POUNDS FIELD,泰勒
UBP,穆昂乌本机场,MUANG UBON,穆昂乌本,乌汶（乌汶叻差他尼）
GTR,金三角地区机场,GOLDEN TRIANGLE REGI,金三角地区机场,哥伦布
UDR,达博克机场,DABOK AIRPORT,达博克,乌代布尔
UIH,归仁机场,QUI NHON AIRPORT,归仁,归仁
UKK,乌斯季卡缅诺戈尔斯克,UST-KAMENOGORSK,,乌斯季卡缅诺戈尔斯克
UME,于默奥机场,UMEA,于默奥,于默奥
UPG,哈萨努丁机场,HASANUDIN AIRPORT,哈萨努丁机场,乌戎潘当
VER,拉斯巴贾达斯机场,LAS BAJADAS AIRPORT,拉斯巴贾达斯机场,韦拉克鲁斯
VFA,维多利亚瀑布城机场,VICTORIA FALLS AIRPO,维多利亚瀑布城,维多利亚大瀑布
VII,荣市机场,VINH CITY AIRPORT,荣市机场,荣市
VIX,尤里克塞尔斯机场,EURICO SALES AIRPORT,尤里克塞尔斯,维多利亚
VKG,拉奇吉亚机场,RACH GIA AIRPORT,拉奇吉亚机场,迪石
VPS,瓦尔顿堡比齐机场,FT. WALTON BEACH AIR,瓦尔顿堡比齐机场,华尔顿堡
VTZ,维沙卡帕特南机场,VISHAKHAPATNAM AIRPO,维沙卡帕特南,维萨卡帕特南
WAG,旺阿努伊机场,WANGANUI,旺阿努伊,旺阿努伊
WGA,佛雷斯特希尔机场,FORREST HILL AIRPORT,佛雷斯特希尔,沃加沃加
WHK,瓦卡塔尼机场,WHAKATANE AIRPORT,瓦卡塔尼,瓦卡塔尼
WKA,瓦纳卡机场,WANAKA AIRPORT,瓦纳卡,瓦纳卡
WRE,旺阿雷机场,WHANGAREI AIRPORT,旺阿雷,旺阿雷
WVB,卢伊科普机场,ROOIKOP AIRPORT,卢伊科普,鲸湾港
WYS,西黄石机场,YELLOWSTONE AIRPORT,西黄石,西黄石
YDF,迪尔莱克机场,DEER LAKE AIRPORT,迪尔莱克,鹿湖
YGJ,美秀机场,MIHO,美秀机场,米子
YMM,麦克默里堡机场,FORT MCMURRAY AIRPOR,麦克默里堡,福麦木瑞
YNY,襄阳机场,YANGYANG,襄阳,襄阳
YQQ,科莫克斯机场,COMOX,科莫克斯,康英克斯
YQU,大草原城机场,GRANDE PRAIRIE,,大草原城
YUM,尤马国际机场,YUMA INTERNATIONAL A,尤马国际,尤马
HAH,莫罗尼国际机场,PRINCE SAID IBRAHIM ,莫罗尼国际机场,莫罗尼
YXC,克兰布鲁克机场,CRANBROOK,克兰布鲁克,克兰布鲁克
YXH,梅迪辛哈特机场,MEDICINE HAT AIRPORT,梅迪辛哈特,梅迪辛哈特
YXS,乔治王子城机场,PRINCE GEORGE AIRPOR,乔治王子城机场,乔治王子城
YYB,诺斯贝机场,NORTH BAY AIRPORT,诺斯贝,诺斯贝
YZR,萨尼亚机场 ,SARNIA AIRPORT  ,萨尼亚,松妮亚
ZCL,拉卡勒拉机场,LA CALERA AIRPORT,拉卡勒拉,萨卡特卡斯
ZSE,圣皮埃尔挽德拉瑞乌尼翁机场,ST. PIERRE DE LA REU,圣皮埃尔挽德拉瑞乌尼翁,圣皮埃尔
ABI,阿比林地方机场,ABILENE MUNICIPAL,阿比林,阿比林
ABR,阿伯丁地方机场,ABERDEEN MUNICIPAL,阿伯丁地方,阿伯丁
ACT,韦科地方机场,WACO MUNICIPAL AIRPO,韦科,韦科
ADF,阿德亚曼机场,ADIYAMAN AIRPORT,阿德亚曼,阿德亚曼
AES,维格拉机场,VIGRA,维格拉,奥勒松
AEX,亚历山德里亚国际机场,ALEXANDRIA INTERNATI,亚历山德里亚,亚历山大
AGU,阿瓜斯卡连特斯机场,AGUASCALIENTS AIRPOR,阿瓜斯卡连特斯,阿瓜斯卡连特斯
EXT,埃克塞特机场,EXETER AIRPORT,埃克塞特,埃克塞特
FAT,弗雷斯诺机场,FRESNO AIR TERMINAL,弗雷斯诺,弗雷斯诺
FCA,格雷希尔国际公园机场,GLACIER NATIONAL PAR,格雷希尔国际公园,卡利斯佩尔
FLN,弗洛里亚诺布里斯机场,HERCILIO LUZ AIRPORT,弗洛里亚诺布里斯,弗卢里亚诺波利斯
FNT,毕晓普机场,BISHOP,毕晓普,弗林特
FOR,平托马丁斯机场,PINTO MARTINS,,福塔莱萨
FPO,格兰德巴哈马国际机场,GRAND BAHAMA INTERNA,格兰德巴哈马,弗里波特
FSD,苏福尔斯地区机场,SIOUX FALLS REGIONAL,,苏福尔斯
FSM,史密斯堡地方机场,FORT SMITH MUNICIPAL,史密斯堡,史密斯堡
GAJ,顺町机场,JUNMACHI AIRPORT,顺町,山形
GAU,博尔哈机场,BORJHAR AIRPORT,博尔哈机场,古瓦哈蒂
GCM,欧文挽罗伯茨国际机场,OWEN ROBERTS INTERNA,欧文挽罗伯茨,大开曼岛
GEO,切蒂加干国际机场,CHEDDI JAGAN INTERNA,切蒂加干国际,乔治敦
GFK,大福克斯机场,GRAND FORKS AIRPORT,大福克斯,大福克斯
GIS,吉斯伯恩机场,GISBORNE AIRPORT,吉斯伯恩,吉斯伯恩
GJT,大章克申机场,WALKER FIELD,大章克申,大章克申
GND,波因特萨莱恩国际机场,POINT SALINE INTERNA,波因特萨莱恩,格林纳达
GNV,盖恩斯维尔地区机场,GAINESVILLE REGIONAL,,盖恩斯维尔
GRB,奥斯丁－斯特劳贝尔机,AUSTIN-STRAUBEL FIEL,奥斯丁－斯特劳贝尔机,格林贝
GTF,大瀑布村国际机场 ,GREAT FALLS INTERNAT,大瀑布村,格雷特瀑布
HDS,荷兹普鲁伊特机场 ,HOEDSPRUIT AIRPORT ,荷兹普鲁伊特,荷兹普鲁伊特
HER,卡赞查基斯机场,N. KAZANTZAKIS,卡赞查基斯,赫拉克利翁
HIB,奇绍尔姆机场,CHISHOLM AIRPORT,奇绍尔姆,西宾
HIN,蛇川机场,SACHEON,蛇川,晋州
HLZ,哈密尔顿机场,HAMILTON,,汉密尔顿
HMO,根珀斯克拉挽加西亚,GEN PESQUEIRA GARCIA,根珀斯克拉挽加西亚,埃莫西约
HPH,卡特比机场,CATBI AIRPORT,卡特比机场,海防
HRL,瓦雷国际机场       ,VALLEY INTERNATIONAL,瓦雷    ,哈灵根
HTI,哈密尔顿岛机场,HAMILTON ISLAND,哈密尔顿岛,哈密尔顿岛
HUN,花莲机场,BUS SERVICE,,中国花莲
HUX,瓦图尔科机场,HUATULCO AIRPORT ,瓦图尔科,圣克鲁斯华图考
HVN,纽黑文机场,NEW HAVEN AIRPORT,纽黑文,纽黑文
ZVE,纽黑文火车站,NEW HAVEN RAIL STATI,纽黑文火车站,纽黑文
HYS,海斯地方机场,HAYS MUNICIPAL AIRPO,海斯地方,海斯
IDA,凡宁机场,FANNING FIELD,,爱达荷福尔斯
IDR,印多尔机场,INDORE AIRPORT,印多尔机场,印多尔
GRK,格雷军用机场,GRAY ARMY AIR FIELD,格雷,基林
ILM,新汉诺威郡机场,NEW HANOVER COUNTY A,新汉诺威郡,威尔明顿
ILO,曼德里奥机场,MANDURRIAO AIRPORT,曼德里奥,伊洛伊洛
ITH,汤普金斯郡机场,TOMPKINS COUNTY,,伊萨卡
ITO,希罗机场,HILO,希罗,希洛
IVC,因弗卡吉尔机场,INVERCARGILL,因弗卡吉尔机场,因佛卡吉尔
IXC,钱迪加机场,CHANDIGARH AIRPORT,钱迪加,昌迪加尔
IXE,巴吉佩机场,BAJPE,,门格洛尔
IXM,马杜赖机场,MADURAI,马杜赖,马杜赖
IXR,兰契机场,RANCHI AIRPORT,兰契机场,兰契
IXU,奇卡尔萨纳机场,CHIKKALTHANA AIRPORT,奇卡尔萨纳机场,奥兰加巴德
IZO,出云机场,IZUMO AIRPORT,出云,出云
JDH,焦特布尔机场,JODHPUR AIRPORT,焦特布尔,焦特布尔
JGA,格瓦德汉珀尔机场,GOVARDHANPUR AIRPORT,格瓦德汉珀尔,贾姆纳加尔
JMK,米克诺斯机场,MIKONOS,米克诺斯,米克诺斯
JST,坎布里亚郡机场,CAMBRIA COUNTY AIRPO,坎布里亚郡,约翰斯顿
JTR,锡拉机场,THIRA,锡拉,锡拉
JUB,朱巴机场,JUBA AIRPORT,朱巴,朱巴
KDI,沃尔特挽蒙金西迪机场,WOLTER MONGINSIDI AI,沃尔特挽蒙金西迪,肯达里
KGI,卡尔古利机场,KALGOORLIE AIRPORT,卡尔古利,卡尔古利
KIM,金伯利机场    ,KIMBERLEY AIRPORT ,金伯利  ,金伯利
KKN,霍布克特莫恩机场,HOEYBUKTMOEN,霍布克特莫恩机场,希尔克内斯
KRN,基律纳机场,KIRUNA AIRPORT,基律纳机场,基律纳
KSU,科维恩伯格特机场,KVERNBERGET AIRPORT,科维恩伯格特,克里斯蒂安松
KTA,卡拉萨机场,KARRATHA AIRPORT ,卡拉萨,卡拉特哈
KZO,克孜勒奥尔达机场,KZYL-ORDA,克孜勒奥尔达 ,克孜勒奥尔达
LBB,拉伯克国际机场,LUBBOCK,,拉伯克
LCH,莱克查尔斯地方机场,LAKE CHARLES MUNICIP,莱克查尔斯地方,莱克查尔斯
LGB,长滩地方机场,LONG BEACH MUNICIPAL,长滩,长滩
LGP,莱加斯皮机场,LEGASPI AIRPORT,莱加斯皮机场,莱加斯皮
LIH,考爱岛机场,KAUAI ISLAND,,考爱岛
LKO,阿茅西机场,AMAUSI,阿茅西机场,勒克瑙
LLA,卡拉克斯机场  ,KALLAX AIRPORT  ,卡拉克斯  ,吕勒奥
LMM,费德拉尔机场,FEDERAL AIRPORT ,费德拉尔,洛斯莫奇斯
LPQ,朗勃拉邦机场,LUANG PRABANG,,朗勃拉邦
LVI,利文斯敦机场,LIVINGSTONE AIRPORT,利文斯敦机场,利文斯通
LWB,格林布里尔瓦雷机场 ,GREENBRIER VALLEY AI,格林布里尔瓦雷 ,刘易斯堡
LWS,内兹帕斯郡地区机场,NEZ PERCE COUNTY REG,内兹帕斯郡,刘易斯顿
LYH,普雷斯顿－格伦机场,PRESTON-GLENN FIELD,,林奇堡
MAJ,阿马塔卡布阿国际机场,AMATA KABUA INTERNAT,阿马塔卡布阿,马朱罗
MAM,马塔莫罗斯机场 ,MATAMOROS AIRPORT,马塔莫罗斯,马塔莫罗斯
MAZ,尤格尼奥挽德霍斯托斯机场,EUGENIO M. DE HOSTOS,尤格尼奥挽德霍斯托斯,马亚奎兹
MBE,鄂霍次克机场,MONBETSU,鄂霍次克,纹别
MBJ,桑斯特国际机场,SANGSTER INTERNATION,桑斯特国际,蒙特哥贝
MDE,约瑟马里挽考德瓦机场,JOSE MARIE CORDOVA A,约瑟马里挽考德瓦,麦德林
MED,穆罕默德 挽本阿布杜拉齐兹机场,MOHAMMAD BIN ABDULAZ,穆罕默德挽本阿布杜拉齐兹,麦迪纳
MFR,杰克逊郡机场,JACKSON COUNTY,,梅德福
MGW,摩根敦机场,MORGANTOWN,摩根敦机场,摩根敦
MHK,曼格顿地方机场,MANHATTAN MUNICIPAL ,曼格顿地方,曼哈顿
MID,雷约恩机场,REJON AIRPORT,雷约恩,梅里达
AMI,塞拉帕朗机场,SELAPARANG,塞拉帕朗机场,马塔兰
CAC,基督城机场,CASCAVEL,基督城,卡斯卡韦尔
CFR,卡恩机场,CARPIQUET,卡恩,卡昂
CHC,克赖斯特彻奇机场,CHRISTCHURCH,克赖斯特彻奇,基督城
GSO,PIEDMONTTRIAD,PIEDMONT TRIAD,格林斯堡,格林斯伯勒/海波因特
KEM,克米机场,KEMI/TORNIO,克米,凯米/托尼奥
NAW,奈良机场,NARATHIWAT,奈良,那拉提瓦（陶公）
NKC,努瓦克肖特机场,NOUAKCHOTT AIRPORT ,努瓦克肖特,努瓦克肖特
SCO,阿克套机场,AKTAU AIRPORT,阿克套,阿克套
MQP,克鲁格尔－普马兰加国,KRUGER MPUMALANGA,克鲁格尔－普马兰加国,克鲁格
FLG,普里阿姆机场,PULLIAM FIELD,普里阿姆,费拉格尔斯塔夫
OZC,拉波机场,LABO,拉波,奥三棉市
EUM,新明斯特机场,NEUMUENSTER,新明斯特,新明斯特
YUS,玉树巴塘机场,YUSHUBATANG,巴塘,玉树
NQI,海空军机场,NAVAL AIR STATION,海空军,金斯维尔
STP,圣保罗市区机场,ST. PAUL DOWNTOWN,,圣保罗
JPD,帕萨迪纳直升机机场,PASADENA HELIPORT,,帕萨迪纳
ZQN,弗兰克敦机场,FRANKTON,弗兰克敦,昆斯敦
BZV,马亚马亚机场,MAYA MAYA,布拉柴维尔,布拉柴维尔
TBS,新阿里克塞耶夫卡机场,NOVO ALEXEYEVKA,新阿里克塞耶夫卡,第比利斯
SKP,斯科普里,SKOPJE,斯科普里,斯科普里
YBG,巴戈特维尔机场,BAGOTVILLE,,巴戈特维尔
ERL,赛乌苏国际机场,ELIANHAOTE SAIWUSU,赛乌苏,二连浩特
YSJ,圣约翰机场,SAINT JOHN,圣约翰,圣约翰
HHH,希尔顿黑德机场,HILTON HEAD,希尔顿黑德,希尔顿黑德
FAB,法恩伯勒机场,FARNBOROUGH,法恩伯勒,法恩伯勒
SIP,辛菲罗波尔机场,SIMFEROPOL,辛菲罗波尔,辛菲罗波尔
LBD,库德贾德机场,KHUDZHAND,库德贾德,库德贾德
PSP,帕姆斯普林斯地方机场,PALM SPRINGS MUNICIP,帕姆斯普林斯地方,帕姆斯普林斯
KFG,卡尔库龙机场,KALKURUNG,卡尔库龙,卡尔库龙
JIQ,重庆黔江舟白机场,CHONGQING QIANJIANG ,舟白机场,黔江
YCG,卡斯尔加机场,CASTLEGAR AIRPORT,卡斯尔加,卡斯尔加
CAH,金瓯机场,CA MAU AIRPORT,金瓯机场,金瓯
GAN,甘/希努岛机场,GAN/SEENU AIRPORT,甘/希努岛,甘岛
DRT,德尔里奥国际机场,DEL RIO INTERNATIONA,德尔里奥,德里奥
NAV,内夫谢希尔机场,NEVSEHIR AIRPORT,内夫谢希尔,内夫谢希尔
TBB,宣化机场,TUY HOA AIRPORT,宣化,宣化
DED,台拉登机场,DEHRA DUN AIRPORT,台拉登,台拉登
YAM,苏圣玛丽机场  ,SAULT STE. MARIE AIR,苏圣玛丽  ,苏圣玛丽
VDH,洞海机场,DONG HAI,洞海,洞海
STS,索诺马郡机场,SONOMA COUNTY AIRPOR,索诺马郡,圣罗莎
NTQ,诺特机场,NOTO AIRPORT,诺特,轮岛
BJS,,,,北京
SIA,,,,西安
AXF,,,,阿拉善左旗
RHT,,,,阿拉善右旗
BZX,恩阳机场,,,巴中
BFJ,,,,毕节
PKX,大兴国际机场,,,北京
DBC,,,,白城
CDE,,,,承德
CWJ,,,,沧源
JUH,九华山机场,,,池州
DCY,,,,稻城
HXD,,,,德令哈
EJN,桃来机场,,,额济纳旗
FYJ,,,,抚远
FYN,,,,富蕴
GMQ,,,,果洛
AHJ,,,,红原
HCJ,,,,河池
HNY,,,,衡阳
HTT,,,,花土沟
HUO,,,,霍林郭勒
HUZ,平潭机场,,,惠州
XRQ,,,,呼伦贝尔
CYI,,,,中国嘉义
JGD,,,,加格达奇
JM1,,,,荆门
JSJ,,,,建三江
KNH,尚义机场,,,金门
KJH,,,,凯里
JMJ,,,,澜沧
LFQ,,,,临汾
LLV,,,,吕梁
LNL,,,,陇南
LPF,,,,六盘水
MFK,,,,中国马祖
LZN,,,,中国南竿
NLH,,,,宁蒗
BAR,,,,琼海
BPE,,,,秦皇岛
HBQ,,,,祁连
RIZ,山字河机场,,,日照
RQA,,,,若羌
HPG,,,,神农架
QSZ,,,,莎车
SHF,,,,石河子
SQD,,,,上饶
SQJ,沙县机场,,,三明
WDS,,,,十堰
WGN,,,,邵阳
YSQ,,,,松原
TLQ,,,,吐鲁番
TNH,,,,通化
TNN,,,,中国台南
DTU,,,,五大连池
UCB,,,,乌兰察布
WZQ,,,,乌拉特中旗
WSK,,,,巫山
GXH,,,,夏河
WUT,,,,忻州
XAI,,,,信阳
YIC,,,,宜春
YKH,,,,营口
YYA,,,,岳阳
NZL,,,,扎兰屯
ZQZ,,,,张家口
ZYI,,,,遵义
INB,独立城机场,,,印地潘登斯
IDP,独立城机场,,,独立城（美国）
HOU,霍比机场,,,休斯敦
ULV,巴若塔叶夫克机场,,,乌里扬诺夫斯克
YKF,基奇纳滑铁卢地区机场,,,多伦多
UTI,乌提机场,,,科沃拉
AGB,奥格斯堡穆尔豪森机场,,,慕尼黑
MGA,奥古斯托桑迪诺机场,,,马那瓜
SJY,伊尔马约基机场,,,塞伊奈约基
SON,佩克阿机场,,,圣埃斯皮里图
OOM,大雪山机场,,,库马
YPR,迪格比岛机场,,,鲁珀特王子港
DCF,坎恩菲尔德机场,,,多米尼加岛
IRK,柯克斯维尔地方机场,,,柯克斯维尔
PSO,卡诺机场,,,帕斯托
BCV,赫克托席尔瓦机场,,,贝尔莫潘
LND,亨特机场,,,兰德
HTW,亨廷顿郡机场,,,切萨皮克
GZI,,,,加兹尼
KLD,米加洛夫机场,,,加里宁（特维尔）
SEN,绍森德机场,,,伦敦
YHU,圣胡博特机场,,,蒙特利尔
PNT,特尼恩特 加拉尔多机场,,,纳塔莱斯港
USK,乌辛斯克机场,,,乌申斯克
MZO,希拉马埃斯特拉机场,,,曼萨尼约
BII,恩于机场,,,比基尼环礁
KNO,印尼瓜拉娜姆国际机场,,,棉兰
EVE,伊文内斯机场,,,哈尔斯塔纳维克
JAD,詹达科特机场,,,珀斯
ZTR,日托米尔机场,,,日托米尔
