机场三字码,机场名称,机场英文名,机场简称,城市名称
MEX,胡阿雷兹国际机场,JUAREZ,墨西哥城,墨西哥城
PDX,波特兰国际机场,PORTLAND,波特兰,波特兰
PHX,凤凰城机场,SKY HARBOR,天港,凤凰城
SAN,圣迭戈国际机场,SAN DIEGO,圣迭戈,圣地亚哥
CLD,卡尔斯巴德机场 ,CARLSBAD,卡尔斯巴德,圣地亚哥
DEN,丹佛国际机场,DENVER,丹佛机场,丹佛
SLC,盐湖城国际机场,SALT LAKE CITY,盐湖城,盐湖城
IAH,乔治布什国际机场    ,GEORGE BUSH INTERCON,洲际,休斯敦
MIA,迈阿密国际机场,MIAMI,迈阿密,迈阿密
BOS,波斯顿机场,LOGAN,波斯顿,波士顿
ATL,亚特兰大国际机场,HARTSFIELD-JACKSON A,哈特菲尔德,亚特兰大
DFW,达拉斯机场,DALLAS/FT. WORTH,达拉斯,达拉斯
EDI,爱丁堡机场,EDINBURGH,爱丁堡,爱丁堡
BCN,巴塞罗那机场,BARCELONA,巴塞罗那,巴塞罗那
CGN,科隆机场,KOELN/BONN,科隆/波恩,科隆
QKL,科隆火车站,COLOGNE RAILWAY STAT,科隆,科隆
ATH,埃勒弗瑟里奥斯挽韦尼泽罗斯国际机场 ,ELEFTHERIOS VENIZELO,埃勒弗瑟里奥斯挽韦尼泽罗斯,雅典
MRS,马赛机场,MARSEILLE,马赛,马赛
LYS,里昂机场,LYON SATOLAS,里昂,里昂
XYD,里昂帕特挽迪尤火车站,LYON PART-DIEU RAIL ,里昂帕特挽迪尤,里昂
GRX,格拉纳达机场,GRANADA,格拉纳达,格拉纳达
KHH,高雄国际机场,KAOHSIUNG,高雄,中国高雄
MAN,曼彻斯特机场,MANCHESTER,曼彻斯特,曼彻斯特
DPS,登巴萨国际机场,NGURAH RAI,登巴沙,巴厘岛
BOM,孟买机场,MUMBAI,孟买,孟买
HKT,普吉国际机场,PHUKET,普吉,普吉岛
CNS,凯恩斯机场,CAIRNS,凯恩斯,凯恩斯
LXR,卢克索机场,LUXOR,卢克索,卢克索
ASW,阿斯旺机场,ASWAN,阿斯旺,阿斯旺
DAC,达卡机场,ZIA,达卡,达卡
UKY,京都机场,KYOTO,京都,京都
KOJ,鹿儿岛机场,KAGOSHIMA,鹿儿岛,鹿儿岛
CJJ,清州机场,CHEONGJU,清州,清州
CJU,济州岛,JEJU,济州岛,济州岛
KWJ,光州机场,GWANGJU,光州,光州
SZG,萨尔斯堡机场,W. A. MOZART,萨尔斯堡,萨尔茨堡
BDO,侯赛因萨斯特雷纳加拉,HUSEIN SASTRANEGARA,侯赛因萨斯特雷纳加拉,万隆
JOG,阿迪苏特吉普托机场,ADISUTJIPTO,阿迪苏特吉普托,日惹
SHJ,沙迦机场,SHARJAH,沙迦,沙迦
LXI,林西机场,LINXI,林西,林西
LHK,光化机场,GUANGHUA,光化,光化
GHN,广汉机场,GUANGHAN,,广汉
